0,1,2,3
-2.2139893,0.46644396,-0.8441965,0.54057956
-2.1565206,0.46673274,-0.8441541,0.5400501
-2.0468228,0.47701848,-0.8085567,0.5279136
-2.0010798,0.47713733,-0.808351,0.5273651
-1.9340736,0.48192796,-0.7928215,0.51707023
-1.8789263,0.48199221,-0.77722895,0.5076002
-1.8608947,0.48199627,-0.7771957,0.5074707
-1.8155215,0.4830323,-0.75937855,0.4969948
-1.8054651,0.48302525,-0.75936985,0.49694785
-1.7707832,0.48402047,-0.739708,0.48820102
-1.7650961,0.4840125,-0.7397063,0.4881846
-1.7306473,0.48417127,-0.7158499,0.47770634
-1.6813996,0.48097715,-0.70131147,0.46855894
-1.6671869,0.48114672,-0.7013039,0.46838516
-1.6472797,0.47668576,-0.68009233,0.4594635
-1.6506066,0.47659844,-0.68008465,0.459529
-1.6233374,0.4737659,-0.664667,0.45105532
-1.6252989,0.4736983,-0.6646631,0.45110276
-1.5941838,0.46522978,-0.65098983,0.44084316
-1.5744302,0.45821887,-0.6359346,0.43401787
-1.5753013,0.4581955,-0.6359326,0.43403172
-1.5545568,0.45213908,-0.6181451,0.4247857
-1.5550048,0.45213005,-0.6181439,0.42479083
-1.5123837,0.44092986,-0.6066522,0.4166279
-1.5008652,0.44110256,-0.6066437,0.41645876
-1.4812684,0.43340218,-0.5913906,0.40929767
-1.4555607,0.42494306,-0.578089,0.40119535
-1.4326817,0.4248516,-0.5780485,0.40109113
-1.3913746,0.4149659,-0.56443566,0.3938884
-1.3804541,0.41490176,-0.5644173,0.39377195
-1.3562844,0.40584582,-0.5527526,0.3854343
-1.3630338,0.39480746,-0.5407343,0.3787638
-1.4065608,0.39482564,-0.5407921,0.37871823
-1.4223436,0.38162947,-0.52501136,0.37085894
-1.4170429,0.3818911,-0.5250803,0.3708244
-1.404417,0.3739804,-0.51315063,0.36314043
-1.4344218,0.37395453,-0.5131448,0.3631226
-1.4415137,0.36271876,-0.5028745,0.3542156
-1.4442396,0.3490942,-0.49039868,0.34914613
-1.4596516,0.34905693,-0.49039572,0.3491553
-1.4568971,0.33844045,-0.47948232,0.34382388
-1.4519322,0.32749724,-0.46561024,0.33576888
-1.4591854,0.32749215,-0.465607,0.33577088
-1.4506103,0.31539652,-0.45604372,0.32976916
-1.4549432,0.31539986,-0.45604137,0.32976928
-1.4053649,0.3046987,-0.4448947,0.32315853
-1.3746921,0.29558846,-0.4359697,0.3176712
-1.3898782,0.29553127,-0.43595847,0.31766525
-1.390343,0.28432727,-0.42511612,0.31164616
-1.4002944,0.28425607,-0.42511442,0.31166247
-1.3949308,0.27086577,-0.41400874,0.3044573
-1.4009401,0.270828,-0.41400594,0.30446598
-1.3955503,0.2600797,-0.40440568,0.2989046
-1.3991368,0.26006532,-0.40440336,0.29890776
-1.3914864,0.24889287,-0.39367342,0.29194084
-1.3851986,0.23873469,-0.38334033,0.2863265
-1.3460598,0.23895186,-0.38338715,0.28631783
-1.3166461,0.2301636,-0.3749151,0.2814792
-1.3309427,0.23010267,-0.37490433,0.2814736
-1.3337252,0.21838318,-0.3645215,0.27513146
-1.336551,0.20952594,-0.35775265,0.27041763
-1.3438661,0.20946947,-0.35775036,0.27043056
-1.3427205,0.20058312,-0.34763363,0.26494056
-1.3409826,0.19203174,-0.3392701,0.26018235
-1.3443649,0.19201615,-0.33926794,0.2601856
-1.3413465,0.18375824,-0.3325873,0.25503555
-1.3433028,0.18375394,-0.33258468,0.25503656
-1.2974004,0.17442381,-0.32474646,0.24987826
-1.2758119,0.17457682,-0.32472438,0.24982746
-1.2843091,0.16570754,-0.31651768,0.24522537
-1.2916774,0.15793243,-0.307153,0.23946229
-1.3010507,0.15785873,-0.30715317,0.23947866
-1.3040345,0.1506042,-0.30001432,0.23546824
-1.3061396,0.14463156,-0.29469892,0.23177825
-1.3104969,0.14460513,-0.29469672,0.23178387
-1.3095129,0.13693783,-0.2866399,0.22706743
-1.3120086,0.13692698,-0.28663325,0.22706945
-1.3103102,0.12925315,-0.28022808,0.22135706
-1.2711438,0.12947232,-0.28026834,0.22134809
-1.2459108,0.12410042,-0.2726788,0.2182017
-1.2600958,0.12403984,-0.27266088,0.21819554
-1.2679458,0.11614145,-0.26618066,0.21386528
-1.2773094,0.11606237,-0.26617455,0.2138819
-1.2815272,0.10940772,-0.25868312,0.20930256
-1.2871778,0.10935338,-0.25867844,0.20931324
-1.2887489,0.103651136,-0.2515274,0.2049566
-1.2887138,0.096621335,-0.24446154,0.20033777
-1.2913281,0.09660299,-0.24445915,0.20034069
-1.2911701,0.091564,-0.23747645,0.1954688
-1.2520343,0.09178762,-0.23752756,0.19545896
-1.2275054,0.08558942,-0.23035133,0.1905563
-1.2416167,0.08549527,-0.23033702,0.19055797
-1.2515712,0.08080146,-0.22497989,0.1879015
-1.2609125,0.08067213,-0.22497356,0.18792933
-1.2658411,0.076269194,-0.21895897,0.18383357
-1.2698748,0.07268886,-0.21467687,0.18060374
-1.274097,0.07249364,-0.21466775,0.18064214
-1.2757792,0.067747325,-0.20935708,0.17770346
-1.2784654,0.06758176,-0.20935033,0.17773156
-1.2788635,0.06319597,-0.20324703,0.1737601
-1.238948,0.05962704,-0.19782741,0.17003307
-1.2171174,0.059885684,-0.19782068,0.16995607
-1.2300618,0.056799296,-0.19373915,0.16823263
-1.2420235,0.05674304,-0.1937354,0.16824569
-1.2503037,0.053573452,-0.1896766,0.16424188
-1.2574201,0.053508166,-0.18967259,0.16425917
-1.2616537,0.05009937,-0.18458754,0.16124995
-1.2649094,0.046825178,-0.1790306,0.15786292
-1.2683448,0.046715494,-0.17903689,0.15788275
-1.2701919,0.043979883,-0.17494094,0.15482475
-1.272288,0.0439086,-0.17494549,0.1548361
-1.2808639,0.04054111,-0.1702092,0.15232225
-1.281724,0.040986203,-0.17046869,0.15332307
-1.263891,0.03876362,-0.16546498,0.15036838
-1.2641778,0.03875072,-0.16534032,0.14992028
