0,1,2,3
-1.5495565,0.52043223,-0.9516295,0.58786416
-1.5458281,0.5283316,-0.9236191,0.57641906
-1.5927494,0.5276231,-0.8951608,0.56357306
-1.7369025,0.5273119,-0.89525646,0.5636658
-1.8489884,0.5230029,-0.87690043,0.55496883
-1.9584167,0.5227223,-0.87692696,0.5549666
-2.0166209,0.52119184,-0.8548911,0.54397887
-2.084062,0.5210717,-0.854883,0.5439663
-2.1096387,0.51785874,-0.830994,0.53484184
-2.130199,0.51120853,-0.8172947,0.5259549
-2.1598816,0.5112139,-0.81728023,0.52594537
-2.164415,0.51081336,-0.7889279,0.51572406
-2.0574946,0.51121503,-0.7889904,0.5161902
-2.0040436,0.5117224,-0.78896385,0.5165467
-1.9939187,0.5030465,-0.7709546,0.5052279
-1.9590564,0.48821905,-0.751917,0.4933896
-1.952196,0.48805302,-0.7518876,0.49305186
-1.9289939,0.4830307,-0.72724414,0.4815399
-1.9224992,0.4829179,-0.72723275,0.481369
-1.8966737,0.47307748,-0.7104567,0.4737652
-1.8655626,0.4600766,-0.69737774,0.46497542
-1.8541648,0.46003363,-0.69736844,0.46492183
-1.7972705,0.44848186,-0.68105876,0.4555107
-1.6696543,0.448839,-0.68112415,0.45602545
-1.5605497,0.43603835,-0.65934587,0.44596052
-1.5701953,0.43598887,-0.6592761,0.44572496
-1.5800908,0.42323282,-0.6411755,0.43559706
-1.5950208,0.40767977,-0.62502015,0.42638054
-1.6292447,0.40751916,-0.62503743,0.42626446
-1.6425647,0.4073954,-0.6250442,0.4261799
-1.6460776,0.39795914,-0.60965693,0.41891903
-1.6571054,0.3832799,-0.5981104,0.41137978
-1.6767206,0.38323587,-0.5981219,0.41136515
-1.6727111,0.36689717,-0.5813804,0.4021611
-1.5733502,0.36725906,-0.5814715,0.4027021
-1.4974282,0.3572782,-0.56679606,0.3944263
-1.5449526,0.35723713,-0.56674844,0.39421433
-1.5763552,0.34340614,-0.5524678,0.38635328
-1.5942341,0.32688844,-0.53898615,0.3776061
-1.6144586,0.32674298,-0.5389816,0.3774722
-1.6217693,0.31403312,-0.52525353,0.37128845
-1.6368452,0.31395394,-0.5252523,0.37123254
-1.6375467,0.29908922,-0.5106471,0.3625383
-1.638444,0.29905367,-0.51064247,0.36251113
-1.6213424,0.28679493,-0.4995377,0.35465834
-1.5131979,0.28716043,-0.49962056,0.3551937
-1.4307917,0.273515,-0.48690444,0.34793213
-1.4507817,0.27347478,-0.4868424,0.34770152
-1.45309,0.25927478,-0.47268617,0.34101924
-1.4497436,0.25909793,-0.4726639,0.3408226
-1.42681,0.24381867,-0.45848906,0.33218288
-1.408675,0.24370056,-0.45846766,0.33207086
-1.3795052,0.22969556,-0.44406196,0.32441458
-1.3548388,0.21724246,-0.43289593,0.31656036
-1.3405523,0.21719295,-0.432885,0.31649452
-1.3241557,0.20654313,-0.42177233,0.31065926
-1.2921703,0.20689134,-0.42188454,0.3112802
-1.2688712,0.19676498,-0.41194934,0.3058881
-1.2654697,0.1862989,-0.40254402,0.2993965
-1.2684994,0.18613192,-0.402504,0.29910657
-1.2679023,0.17658344,-0.39308453,0.2937909
-1.270295,0.17643404,-0.39307082,0.2936281
-1.2677846,0.1653485,-0.3827895,0.28710994
-1.2693226,0.16526803,-0.38278776,0.2870401
-1.2673331,0.15587617,-0.37308186,0.28140715
-1.2652378,0.14581618,-0.36302057,0.27519727
-1.2659874,0.14578852,-0.36302048,0.27517524
-1.2544851,0.13808642,-0.3548058,0.2707454
-1.2534797,0.13851728,-0.35488075,0.2712426
-1.2512381,0.12938939,-0.3453204,0.26504123
-1.2534227,0.12925783,-0.3452707,0.26475614
-1.2544088,0.12304585,-0.33797148,0.26004034
-1.25462,0.1154062,-0.3295036,0.25525212
-1.2561713,0.115422,-0.3295082,0.2551163
-1.2551517,0.10689941,-0.3208684,0.24932227
-1.2546948,0.100269884,-0.31269985,0.2446465
-1.2553169,0.10027535,-0.31270003,0.2446176
-1.2547218,0.09533259,-0.30675963,0.24050675
-1.2447157,0.09564883,-0.30688432,0.2411789
-1.2426103,0.088863164,-0.29901782,0.23685788
-1.2435486,0.08883157,-0.29895237,0.23655811
-1.2440896,0.08148524,-0.29082182,0.23133257
