0,1,2,3
-0.10832927,0.53388387,-0.4783233,0.19685143
-0.102696,0.53886074,-0.44535086,0.18789503
-0.22034875,0.54423004,-0.45332667,0.26818657
-0.43784478,0.5377385,-0.56255794,0.39184317
-0.49584857,0.5178109,-0.63166416,0.4107976
-0.51334333,0.5081619,-0.68462086,0.41784918
-0.48608992,0.50368226,-0.69197494,0.41213748
-0.48493388,0.50477487,-0.70998275,0.41586953
-0.45708907,0.5031656,-0.6967875,0.40747797
-0.43688655,0.49874502,-0.69061613,0.39943263
-0.43560278,0.50014925,-0.69509506,0.40001443
-0.4171757,0.50085044,-0.66912466,0.38910908
-0.32468724,0.48062497,-0.6237366,0.25192812
-0.27215275,0.48993337,-0.53055906,0.26101583
-0.34410807,0.50331557,-0.54901063,0.3635137
-0.35298225,0.48960102,-0.5773011,0.3687991
-0.36302644,0.487189,-0.6054267,0.36976162
-0.35126433,0.4819861,-0.59434664,0.36037546
-0.35285875,0.4824876,-0.60014176,0.3621828
-0.33368638,0.47394076,-0.5857151,0.3567344
-0.3137873,0.46413946,-0.5736225,0.35197684
-0.31461856,0.46733028,-0.57440674,0.3540547
-0.29614085,0.45777383,-0.5586021,0.3456261
-0.21520458,0.43117657,-0.5145395,0.20316099
-0.15335949,0.42145738,-0.40363336,0.20740697
-0.24427724,0.44835418,-0.43725413,0.32211125
-0.2556355,0.44055167,-0.46491417,0.32637152
-0.24202225,0.42466688,-0.4769872,0.31953317
-0.23981136,0.42439485,-0.4915364,0.32044756
-0.2373673,0.42432633,-0.4986413,0.32266432
-0.22405967,0.41525635,-0.48596132,0.3182688
-0.20514834,0.4009547,-0.4750986,0.3118394
-0.20413023,0.40179464,-0.47578177,0.31362766
-0.18685196,0.38674584,-0.46006554,0.3056346
-0.106992565,0.35733408,-0.41737613,0.15921617
-0.058806755,0.34876308,-0.31317282,0.17386411
-0.14671896,0.3777416,-0.34700167,0.28920054
-0.16144387,0.37039223,-0.37947157,0.29480186
-0.15073845,0.35405353,-0.39522472,0.28892964
-0.14757146,0.35360375,-0.4108144,0.29027632
-0.13449441,0.34109682,-0.40552533,0.28489965
-0.13197201,0.3416771,-0.4106898,0.28533727
-0.11877598,0.32721302,-0.3995511,0.27692375
-0.11649208,0.32738438,-0.4033674,0.27640587
-0.10493472,0.31520557,-0.39580044,0.26811016
-0.025697965,0.28354433,-0.35169902,0.11918351
0.01674077,0.2694429,-0.24518135,0.13767892
-0.070096955,0.2983094,-0.28218076,0.248047
-0.087239444,0.28981224,-0.31801462,0.25197145
-0.08864066,0.28937298,-0.34849715,0.25158936
-0.07581209,0.27352396,-0.34946117,0.2424404
-0.07370964,0.27290416,-0.3573802,0.24145533
-0.06568648,0.25828066,-0.34804064,0.23248875
-0.059092455,0.24539085,-0.3396519,0.22409531
-0.058698967,0.24510914,-0.34104523,0.2240183
-0.05321504,0.23441157,-0.330945,0.21843705
0.022345573,0.19808975,-0.28681213,0.075308934
0.059258416,0.18135871,-0.18706742,0.09401336
-0.021420106,0.20365708,-0.21240191,0.19369516
-0.04646156,0.21272552,-0.25856736,0.20420091
-0.044950116,0.20489392,-0.27786,0.19970582
-0.042385682,0.20502506,-0.2927338,0.19917068
-0.03535626,0.19437775,-0.29051524,0.19283894
-0.034061555,0.19471638,-0.2952214,0.19315203
-0.030249469,0.18557969,-0.28784335,0.18812124
-0.02718405,0.17567936,-0.2787778,0.18232247
-0.027422888,0.17575407,-0.27968827,0.18335322
0.04607324,0.12930112,-0.22742347,0.028290585
0.076332964,0.11957435,-0.141911,0.054955885
-0.0013557426,0.1449027,-0.16787562,0.16151702
-0.025443524,0.15580042,-0.2123545,0.1734735
-0.026066175,0.15223621,-0.23312262,0.17042373
-0.022136437,0.14518663,-0.23961437,0.16609481
-0.020353572,0.14530466,-0.24719393,0.16701269
-0.017002767,0.1369061,-0.24310401,0.16277489
-0.014723841,0.13051784,-0.23791355,0.15882888
-0.0140543915,0.130807,-0.23956662,0.15939392
-0.012355322,0.12623091,-0.23466945,0.1556218
0.05882866,0.08778808,-0.18853019,0.0035249144
0.08975577,0.070498124,-0.09342113,0.027482212
0.010499712,0.104982644,-0.13130544,0.14086029
-0.010653071,0.10898267,-0.16941582,0.1480689
-0.01151705,0.11187445,-0.19796793,0.14931995
-0.007951986,0.106630675,-0.20626727,0.14580941
-0.005674733,0.106931314,-0.2145203,0.146268
-0.0033849627,0.10125055,-0.21078017,0.14029555
-0.002072772,0.09728456,-0.20947123,0.14002185
-0.0011650994,0.09732027,-0.21223482,0.14077492
4.4712797e-05,0.09191451,-0.207023,0.13629702
0.06535422,0.058834184,-0.15454155,-0.010805905
0.08787089,0.048206523,-0.05199991,0.016034052
0.01571517,0.073425665,-0.08728051,0.117761046
-0.0027482733,0.08184395,-0.1374682,0.1288631
-0.0017881077,0.07907798,-0.16216858,0.12653813
0.0015666839,0.07912486,-0.1784788,0.12678434
0.0042569246,0.07541841,-0.18027064,0.1240316
0.005774472,0.07134072,-0.17844224,0.121080115
0.0059808483,0.07160731,-0.18024957,0.12194983
0.0055657076,0.06858707,-0.17555492,0.11950448
0.0053039454,0.068673216,-0.17657389,0.12009379
0.0701312,0.032393936,-0.11821986,-0.03190492
0.09054412,0.023377448,-0.015687287,-0.002714187
0.017711302,0.053321302,-0.059100732,0.10350816
-0.00081245974,0.058750056,-0.10475133,0.11045509
-0.00086574815,0.06039043,-0.13569677,0.11140257
0.001819225,0.057538465,-0.14702345,0.108426034
0.003782129,0.054763727,-0.1508913,0.10621345
0.0043547396,0.054672025,-0.15621266,0.1069421
0.0043656304,0.052234557,-0.15485778,0.10425913
0.0044516306,0.05208234,-0.15645991,0.104290366
0.004610235,0.049860924,-0.15277934,0.10013776
0.09779087,0.0227114,-0.10334687,-0.052091107
0.2569389,-0.014815297,0.08243886,-0.20461583
0.17353992,0.015990838,0.1398799,-0.046546087
0.03225959,0.049222082,0.03911279,0.08379739
-0.0033196677,0.051271472,-0.043672115,0.092979446
-0.005673306,0.04701013,-0.08942489,0.0911532
-0.002185244,0.045021325,-0.11438931,0.09116356
0.00048814714,0.042379867,-0.12232057,0.08933202
0.0018136315,0.041934274,-0.12895775,0.09117417
0.0020434242,0.039858043,-0.12803142,0.0892615
0.0017807782,0.03957812,-0.12961748,0.09007096
0.0009037554,0.03785834,-0.12691317,0.08837191
0.07454613,0.0011152104,-0.071437776,-0.056008108
0.10088557,-0.009528797,0.032669663,-0.022034943
0.016456975,0.021470593,-0.008673415,0.075056866
-0.006581504,0.031823553,-0.060904853,0.08371955
-0.008072412,0.033672333,-0.088511534,0.082208015
-0.005732741,0.03446015,-0.10484798,0.08240174
