0,1,2,3
-0.12343985,0.21286353,-0.41038513,0.1269795
-0.14356112,0.19595987,-0.41700858,0.1147275
-0.28292567,0.24382403,-0.56293833,0.16781971
-0.4343768,0.40677541,-0.69187593,0.31112653
-0.461896,0.4744287,-0.69267,0.3534892
-0.4751138,0.49862254,-0.6980185,0.36790067
-0.4504971,0.504863,-0.6782202,0.36127222
-0.45244622,0.5075636,-0.67936563,0.36346027
-0.4275762,0.5053556,-0.6563537,0.35589924
-0.4103893,0.49935022,-0.6437477,0.34925315
-0.41141292,0.49983212,-0.64442253,0.35086447
-0.39463568,0.49989113,-0.6167691,0.3416663
-0.31817302,0.31009865,-0.44224647,0.19731787
-0.27318296,0.2571366,-0.48269036,0.16366792
-0.3279764,0.397519,-0.57754374,0.2775252
-0.32535565,0.44917703,-0.5769228,0.31019288
-0.3328225,0.4710964,-0.5832373,0.3224352
-0.3195881,0.474179,-0.5645702,0.31750417
-0.32034504,0.4776666,-0.5675879,0.3214149
-0.29926392,0.469859,-0.5539705,0.3165959
-0.2765375,0.4596086,-0.54547554,0.311953
-0.2768504,0.46191466,-0.5478709,0.31504655
-0.2580638,0.45190033,-0.5339719,0.3079204
-0.19321503,0.25636065,-0.34525335,0.1540063
-0.12690227,0.19382799,-0.37251747,0.112296194
-0.2027216,0.34657183,-0.48886025,0.24477783
-0.208783,0.39972937,-0.49046022,0.28008598
-0.19731805,0.406181,-0.48202503,0.2837954
-0.19916841,0.41342312,-0.48588145,0.28847608
-0.19932655,0.41631746,-0.4891449,0.29109037
-0.18792671,0.40891495,-0.47693485,0.28695232
-0.17093912,0.3953508,-0.46686107,0.28146726
-0.17082202,0.39609584,-0.46831578,0.28287828
-0.15451321,0.3804413,-0.45241687,0.27485338
-0.096741304,0.18064769,-0.25204802,0.11253664
-0.03986737,0.12289438,-0.29348913,0.073565066
-0.11246699,0.2772085,-0.41039467,0.21144113
-0.124135,0.3284196,-0.4158998,0.24891286
-0.11722937,0.3330281,-0.40946078,0.25182146
-0.11876404,0.33943388,-0.41270018,0.25497383
