epoch,loss,mse,val_loss,val_mse
0,0.016206488013267517,0.016206488013267517,0.016681894659996033,0.016681894659996033
1,0.015030368231236935,0.015030368231236935,0.016527419909834862,0.016527419909834862
2,0.014846883714199066,0.014846883714199066,0.016334356740117073,0.016334356740117073
3,0.01474334578961134,0.01474334578961134,0.016074536368250847,0.016074536368250847
4,0.014681100845336914,0.014681100845336914,0.015895014628767967,0.015895014628767967
5,0.014638484455645084,0.014638484455645084,0.015853479504585266,0.015853479504585266
6,0.01461025420576334,0.01461025420576334,0.015806421637535095,0.015806421637535095
7,0.014589320868253708,0.014589320868253708,0.01580837368965149,0.01580837368965149
8,0.014573859982192516,0.014573859982192516,0.015826314687728882,0.015826314687728882
9,0.014585837721824646,0.014585837721824646,0.015893131494522095,0.015893131494522095
10,0.014441650360822678,0.014441650360822678,0.015269973315298557,0.015269973315298557
11,0.013783506117761135,0.013783506117761135,0.014284348115324974,0.014284348115324974
12,0.013138380832970142,0.013138380832970142,0.013766881078481674,0.013766881078481674
13,0.012602240778505802,0.012602240778505802,0.012899895198643208,0.012899895198643208
14,0.011837602593004704,0.011837602593004704,0.01185018289834261,0.01185018289834261
15,0.010847494006156921,0.010847494006156921,0.010824453085660934,0.010824453085660934
16,0.010177930817008018,0.010177930817008018,0.010430424474179745,0.010430424474179745
17,0.009773515164852142,0.009773515164852142,0.010238820686936378,0.010238820686936378
18,0.00952732190489769,0.00952732190489769,0.01010082010179758,0.01010082010179758
19,0.009359873831272125,0.009359873831272125,0.010089517571032047,0.010089517571032047
20,0.009253203868865967,0.009253203868865967,0.010119812563061714,0.010119812563061714
21,0.009181849658489227,0.009181849658489227,0.010155471041798592,0.010155471041798592
22,0.00911984033882618,0.00911984033882618,0.01019169483333826,0.01019169483333826
23,0.00908289197832346,0.00908289197832346,0.010181006044149399,0.010181006044149399
24,0.009053750894963741,0.009053750894963741,0.010120744816958904,0.010120744816958904
25,0.00902747642248869,0.00902747642248869,0.010080963373184204,0.010080963373184204
26,0.009005112573504448,0.009005112573504448,0.010043594986200333,0.010043594986200333
27,0.0089816739782691,0.0089816739782691,0.010019849054515362,0.010019849054515362
28,0.008976873010396957,0.008976873010396957,0.01000357884913683,0.01000357884913683
29,0.008969279937446117,0.008969279937446117,0.009990813210606575,0.009990813210606575
