epoch,loss,mse,val_loss,val_mse
0,0.011909100227057934,0.011909100227057934,0.011484755203127861,0.011484755203127861
1,0.006626575719565153,0.006626575719565153,0.004587003029882908,0.004587003029882908
2,0.004326413385570049,0.004326413385570049,0.004410317167639732,0.004410317167639732
3,0.003153549274429679,0.003153549274429679,0.005281348712742329,0.005281348712742329
4,0.0025253500789403915,0.0025253500789403915,0.005794082302600145,0.005794082302600145
5,0.0020985184237360954,0.0020985184237360954,0.005845007486641407,0.005845007486641407
6,0.001790489535778761,0.001790489535778761,0.005665383767336607,0.005665383767336607
7,0.0015664335805922747,0.0015664335805922747,0.004927045200020075,0.004927045200020075
8,0.0013951297150924802,0.0013951297150924802,0.004614373669028282,0.004614373669028282
9,0.0013184541603550315,0.0013184541603550315,0.004504727199673653,0.004504727199673653
10,0.0012622850481420755,0.0012622850481420755,0.00397225609049201,0.00397225609049201
11,0.0012201520148664713,0.0012201520148664713,0.0036777439527213573,0.0036777439527213573
12,0.0011971964268013835,0.0011971964268013835,0.003709800774231553,0.003709800774231553
13,0.0011856965720653534,0.0011856965720653534,0.0035694208927452564,0.0035694208927452564
14,0.0011650510132312775,0.0011650510132312775,0.00327426940202713,0.00327426940202713
15,0.0011374037712812424,0.0011374037712812424,0.003269003704190254,0.003269003704190254
16,0.00112558261025697,0.00112558261025697,0.0032736333087086678,0.0032736333087086678
17,0.0011197439162060618,0.0011197439162060618,0.003273125272244215,0.003273125272244215
18,0.0011078035458922386,0.0011078035458922386,0.003251762827858329,0.003251762827858329
19,0.001100198714993894,0.001100198714993894,0.003248334163799882,0.003248334163799882
20,0.0010947708506137133,0.0010947708506137133,0.003241833997890353,0.003241833997890353
21,0.001088941702619195,0.001088941702619195,0.0032331098336726427,0.0032331098336726427
22,0.0010827670339494944,0.0010827670339494944,0.0032266550697386265,0.0032266550697386265
23,0.001079911133274436,0.001079911133274436,0.0032220669090747833,0.0032220669090747833
24,0.0010785229969769716,0.0010785229969769716,0.0032096276991069317,0.0032096276991069317
25,0.0010763050522655249,0.0010763050522655249,0.0032009577844291925,0.0032009577844291925
26,0.0010741727892309427,0.0010741727892309427,0.0031953612342476845,0.0031953612342476845
27,0.001071870792657137,0.001071870792657137,0.0031922576017677784,0.0031922576017677784
28,0.0010700833518058062,0.0010700833518058062,0.0031906699296087027,0.0031906699296087027
29,0.0010702392319217324,0.0010702392319217324,0.003190732328221202,0.003190732328221202
30,0.0010680571431294084,0.0010680571431294084,0.0031904864590615034,0.0031904864590615034
31,0.0010679890401661396,0.0010679890401661396,0.003190012648701668,0.003190012648701668
32,0.0010664883302524686,0.0010664883302524686,0.0031891996040940285,0.0031891996040940285
33,0.0010686262976378202,0.0010686262976378202,0.003190498100593686,0.003190498100593686
34,0.0010678976541385055,0.0010678976541385055,0.0031917677260935307,0.0031917677260935307
35,0.0010671134805306792,0.0010671134805306792,0.003192584030330181,0.003192584030330181
36,0.001066743629053235,0.001066743629053235,0.0031932618003338575,0.0031932618003338575
37,0.0010664399014785886,0.0010664399014785886,0.003193673910573125,0.003193673910573125
38,0.0010660919360816479,0.0010660919360816479,0.003193850163370371,0.003193850163370371
39,0.0010667785536497831,0.0010667785536497831,0.0031939370092004538,0.0031939370092004538
40,0.001066412660293281,0.001066412660293281,0.0031940152402967215,0.0031940152402967215
41,0.0010663607390597463,0.0010663607390597463,0.0031940413173288107,0.0031940413173288107
42,0.0010662453714758158,0.0010662453714758158,0.003194090211763978,0.003194090211763978
43,0.0010670936899259686,0.0010670936899259686,0.0031941167544573545,0.0031941167544573545
44,0.0010655031073838472,0.0010655031073838472,0.003194117220118642,0.003194117220118642
45,0.0010663740104064345,0.0010663740104064345,0.0031941148918122053,0.0031941148918122053
46,0.001065797172486782,0.001065797172486782,0.0031941067427396774,0.0031941067427396774
47,0.0010659786639735103,0.0010659786639735103,0.003194129094481468,0.003194129094481468
48,0.0010665836744010448,0.0010665836744010448,0.003194115124642849,0.003194115124642849
49,0.0010658727260306478,0.0010658727260306478,0.0031940978951752186,0.0031940978951752186
50,0.001066543161869049,0.001066543161869049,0.0031941113993525505,0.0031941113993525505
51,0.001066736876964569,0.001066736876964569,0.0031941125635057688,0.0031941125635057688
52,0.001065384247340262,0.001065384247340262,0.00319410371594131,0.00319410371594131
53,0.0010661943815648556,0.0010661943815648556,0.0031941067427396774,0.0031941067427396774
54,0.001066007069312036,0.001066007069312036,0.003194109769538045,0.003194109769538045
55,0.001066755736246705,0.001066755736246705,0.0031941027846187353,0.0031941027846187353
56,0.0010654397774487734,0.0010654397774487734,0.0031941081397235394,0.0031941081397235394
57,0.0010656069498509169,0.0010656069498509169,0.0031941013876348734,0.0031941013876348734
58,0.0010663720313459635,0.0010663720313459635,0.003194106975570321,0.003194106975570321
59,0.0010661269770935178,0.0010661269770935178,0.003194105112925172,0.003194105112925172
60,0.0010657466482371092,0.0010657466482371092,0.0031941046472638845,0.0031941046472638845
61,0.0010664338478818536,0.0010664338478818536,0.0031941081397235394,0.0031941081397235394
